,year,word_type,word,word_freq
131,2021,noun chunk,the development,1
132,2021,noun chunk,implementation,1
133,2021,noun chunk,national adaptation plans,1
134,2021,noun chunk,a clear path,1
136,2021,noun chunk,the spirit,1
137,2021,noun chunk,multilateralism,1
138,2021,noun chunk,the adoption,1
139,2021,noun chunk,their commitments,1
140,2021,noun chunk,the science,1
141,2021,noun chunk,the data,1
143,2021,noun chunk,every region,1
144,2021,noun chunk,earth,1
145,2021,noun chunk,land,1
146,2021,noun chunk,the oceans,1
147,2021,noun chunk,one number,1
148,2021,noun chunk,all others,1
149,2021,noun chunk,global temperature rise,1
150,2021,noun chunk,1.5c,1
151,2021,noun chunk,the century,1
152,2021,noun chunk,the ipcc,1
153,2021,noun chunk,the ndc synthesis report,1
154,2021,noun chunk,the emissions gap report,1
155,2021,noun chunk,that path,1
156,2021,noun chunk,science,1
157,2021,noun chunk,their decisions,1
158,2021,noun chunk,studies,1
159,2021,noun chunk,statistics,1
160,2021,noun chunk,one story,1
161,2021,noun chunk,the numbers,1
162,2021,noun chunk,the human lives,1
164,2021,noun chunk,the small island states,1
165,2021,noun chunk,rising waters,1
166,2021,noun chunk,school children,1
167,2021,noun chunk,their futures,1
168,2021,noun chunk,women,1
169,2021,noun chunk,the burden,1
170,2021,noun chunk,home,1
171,2021,noun chunk,the search,1
172,2021,noun chunk,the door,1
173,2021,noun chunk,youth,1
174,2021,noun chunk,the message,1
175,2021,noun chunk,climate,1
176,2021,noun chunk,a global issue,1
177,2021,noun chunk,total inclusion,1
178,2021,noun chunk,the foundation,1
179,2021,noun chunk,all voices,1
180,2021,noun chunk,proposals,1
181,2021,noun chunk,the engagement,1
182,2021,noun chunk,observers,1
183,2021,noun chunk,other stakeholders,1
184,2021,noun chunk,their ideas,1
185,2021,noun chunk,the discussions,1
186,2021,noun chunk,the same climate emergency,1
187,2021,noun chunk,part,1
188,2021,noun chunk,the solution,1
189,2021,noun chunk,the transition,1
190,2021,noun chunk,the scope,1
191,2021,noun chunk,scale,1
192,2021,noun chunk,speed,1
193,2021,noun chunk,anything,1
194,2021,noun chunk,the past,1
195,2021,noun chunk,a daunting task,1
196,2021,noun chunk,a species,1
197,2021,noun chunk,its ingenuity,1
198,2021,noun chunk,the industrial revolution,1
200,2021,noun chunk,the technology,1
201,2021,noun chunk,innovation,1
202,2021,noun chunk,their day,1
203,2021,noun chunk,the residual impacts,1
204,2021,noun chunk,greater economic and social division,1
205,2021,noun chunk,environmental damage,1
206,2021,noun chunk,the lessons,1
208,2021,noun chunk,the prosperity,1
209,2021,noun chunk,the short-term gain,1
210,2021,noun chunk,healthier relationships,1
211,2021,noun chunk,nature,1
212,2021,noun chunk,our land,1
213,2021,noun chunk,oceans,1
214,2021,noun chunk,biodiversity,1
215,2021,noun chunk,the starting point,1
216,2021,noun chunk,this new era,1
217,2021,noun chunk,this new age,1
218,2021,noun chunk,its beginning,1
219,2021,noun chunk,our grasp,1
220,2021,noun chunk,the completion,1
221,2021,noun chunk,our work,1
222,2021,noun chunk,the full implementation,1
223,2021,noun chunk,more climate action,1
224,2021,noun chunk,colleagues,1
225,2021,noun chunk,the task,1
226,2021,noun chunk,these two weeks,1
227,2021,noun chunk,the big picture,1
228,2021,noun chunk,mind,1
229,2021,noun chunk,your specific agenda item,1
230,2021,noun chunk,the choices,1
231,2021,noun chunk,the trust,1
232,2021,noun chunk,billions,1
233,2021,noun chunk,the enormous challenge,1
234,2021,noun chunk,our times,1
235,2021,noun chunk,not just our present generation,1
236,2021,noun chunk,all generations,1
67,2021,noun,climate,7
11,2021,noun,success,6
27,2021,noun,work,5
35,2021,noun,humanity,5
39,2021,noun,emissions,5
71,2021,noun,parties,5
154,2021,noun,era,5
14,2021,noun,process,4
30,2021,noun,day,4
32,2021,noun,colleagues,4
70,2021,noun,implementation,4
78,2021,noun,nations,4
85,2021,noun,support,4
107,2021,noun,change,4
33,2021,noun,point,3
34,2021,noun,history,3
42,2021,noun,future,3
73,2021,noun,world,3
76,2021,noun,solutions,3
9,2021,noun,years,2
10,2021,noun,efforts,2
12,2021,noun,congratulations,2
17,2021,noun,decisions,2
25,2021,noun,issue,2
26,2021,noun,generation,2
36,2021,noun,choices,2
37,2021,noun,scale,2
38,2021,noun,reductions,2
40,2021,noun,goal,2
44,2021,noun,adaptation,2
48,2021,noun,impacts,2
49,2021,noun,people,2
54,2021,noun,transition,2
64,2021,noun,action,2
77,2021,noun,news,2
92,2021,noun,end,2
100,2021,noun,path,2
105,2021,noun,science,2
110,2021,noun,land,2
111,2021,noun,oceans,2
150,2021,noun,task,2
0,2021,noun,guests,1
1,2021,noun,delegates,1
2,2021,noun,ladies,1
3,2021,noun,gentlemen,1
4,2021,noun,wait,1
5,2021,noun,joy,1
6,2021,noun,enthusiasm,1
7,2021,noun,cop,1
8,2021,noun,leadership,1
13,2021,noun,room,1
15,2021,noun,confusion,1
16,2021,noun,pandemic,1
18,2021,noun,skills,1
19,2021,noun,advantage,1
20,2021,noun,communication,1
21,2021,noun,technologies,1
22,2021,noun,covid-19,1
23,2021,noun,hearts,1
24,2021,noun,way,1
28,2021,noun,heart,1
29,2021,noun,poet,1
31,2021,noun,hour,1
41,2021,noun,warming,1
43,2021,noun,planet,1
45,2021,noun,weather,1
46,2021,noun,disasters,1
47,2021,noun,resilience,1
50,2021,noun,families,1
51,2021,noun,harm,1
52,2021,noun,business,1
53,2021,noun,price,1
55,2021,noun,extinction,1
56,2021,noun,environment,1
57,2021,noun,peace,1
58,2021,noun,stability,1
59,2021,noun,institutions,1
60,2021,noun,wellbeing,1
61,2021,noun,reasons,1
62,2021,noun,progress,1
63,2021,noun,platform,1
65,2021,noun,covenant,1
66,2021,noun,hope,1
68,2021,noun,goals,1
69,2021,noun,potential,1
72,2021,noun,accumulation,1
74,2021,noun,repercussions,1
75,2021,noun,pathway,1
79,2021,noun,ndcs,1
80,2021,noun,ambition,1
81,2021,noun,board,1
82,2021,noun,emitters,1
83,2021,noun,cent,1
84,2021,noun,provision,1
86,2021,noun,cornerstone,1
87,2021,noun,commitment,1
88,2021,noun,delivery,1
89,2021,noun,plan,1
90,2021,noun,week,1
91,2021,noun,start,1
93,2021,noun,detail,1
94,2021,noun,actions,1
95,2021,noun,transformations,1
96,2021,noun,trillions,1
97,2021,noun,respect,1
98,2021,noun,countries,1
99,2021,noun,development,1
101,2021,noun,spirit,1
102,2021,noun,multilateralism,1
103,2021,noun,adoption,1
104,2021,noun,commitments,1
106,2021,noun,data,1
108,2021,noun,intensifying,1
109,2021,noun,region,1
112,2021,noun,number,1
113,2021,noun,temperature,1
114,2021,noun,rise,1
115,2021,noun,1.5c,1
116,2021,noun,century,1
117,2021,noun,studies,1
118,2021,noun,statistics,1
119,2021,noun,story,1
120,2021,noun,numbers,1
121,2021,noun,lives,1
122,2021,noun,island,1
123,2021,noun,states,1
124,2021,noun,waters,1
125,2021,noun,school,1
126,2021,noun,children,1
127,2021,noun,futures,1
128,2021,noun,women,1
129,2021,noun,burden,1
